year,region,party,norm_vote_count
2016,Midwest,DEM,3191.9893914522004
2016,Midwest,REP,5136.767935301475
2016,Northeast,DEM,4355.56645992513
2016,Northeast,REP,2838.509002055812
2016,Southeast,DEM,4545.266459711621
2016,Southeast,REP,6117.830411766044
2016,Southwest,DEM,1239.582164474874
2016,Southwest,REP,1612.6915613501794
2016,West,DEM,4266.983464503146
2016,West,REP,4353.403590899962
2018,Midwest,DEM,3278.8933969646673
2018,Midwest,REP,4361.877492469241
2018,Northeast,DEM,4723.081464160758
2018,Northeast,REP,2625.9915745792823
2018,Southeast,DEM,4612.77440087667
2018,Southeast,REP,4836.5171611522655
2018,Southwest,DEM,1374.8431660287342
2018,Southwest,REP,1404.782285511113
2018,West,DEM,3731.213213897842
2018,West,REP,3895.8945075994116
2020,Midwest,DEM,3675.891914908289
2020,Midwest,REP,6221.501554577813
2020,Northeast,DEM,5426.842454681301
2020,Northeast,REP,2900.534810939802
2020,Southeast,DEM,5367.8794833209895
2020,Southeast,REP,6576.629134823448
2020,Southwest,DEM,1521.9166837550795
2020,Southwest,REP,1817.6091014542828
2020,West,DEM,4160.81319182798
2020,West,REP,5073.887997707691
