year,region,party,norm_vote_count
2016,Midwest,DEM,3.1919893914522004
2016,Midwest,REP,5.136767935301474
2016,Northeast,DEM,4.3555664599251305
2016,Northeast,REP,2.838509002055812
2016,Southeast,DEM,4.545266459711621
2016,Southeast,REP,6.117830411766043
2016,Southwest,DEM,1.239582164474874
2016,Southwest,REP,1.6126915613501793
2016,West,DEM,4.266983464503146
2016,West,REP,4.353403590899962
2018,Midwest,DEM,3.278893396964667
2018,Midwest,REP,4.361877492469241
2018,Northeast,DEM,4.7230814641607575
2018,Northeast,REP,2.625991574579282
2018,Southeast,DEM,4.6127744008766705
2018,Southeast,REP,4.8365171611522655
2018,Southwest,DEM,1.3748431660287341
2018,Southwest,REP,1.4047822855111132
2018,West,DEM,3.731213213897842
2018,West,REP,3.8958945075994116
2020,Midwest,DEM,3.675891914908289
2020,Midwest,REP,6.221501554577814
2020,Northeast,DEM,5.426842454681301
2020,Northeast,REP,2.900534810939802
2020,Southeast,DEM,5.36787948332099
2020,Southeast,REP,6.576629134823448
2020,Southwest,DEM,1.5219166837550795
2020,Southwest,REP,1.8176091014542828
2020,West,DEM,4.16081319182798
2020,West,REP,5.073887997707692
