year,state,norm_vote_count
2016,AK,0.4332067039106145
2016,AL,0.08062932172077066
2016,AR,0.13056576236263737
2016,AZ,0.05025349761526232
2016,CA,0.006685491700957049
2016,CO,0.06363231445360723
2016,CT,0.0633195689166194
2016,DE,0.35380082135523616
2016,FL,0.019207109884770233
2016,GA,0.035732750487452045
2016,HI,0.08158238993710691
2016,IA,0.1226845202172601
2016,ID,0.28325569620253166
2016,IL,0.022481582895723932
2016,IN,0.05469182080048514
2016,KY,0.09244499397628558
2016,LA,0.027227309893704008
2016,MA,0.03081427595628415
2016,MD,0.03861946050096339
2016,ME,0.21532951807228917
2016,MI,0.02948895841001104
2016,MN,0.0546107201309329
2016,MO,0.06002565256525653
2016,MS,0.09866811594202898
2016,MT,0.4911497418244406
2016,NC,0.03624486833920797
2016,ND,0.5518396226415094
2016,NE,0.1843773148148148
2016,NH,0.20717496723460027
2016,NJ,0.03084495798319328
2016,NM,0.124863173216885
2016,NV,0.09082859226841722
2016,NY,0.009751403777437467
2016,OH,0.03055663552545692
2016,OK,0.10500953788285868
2016,OR,0.06991127154168608
2016,PA,0.025442900564481112
2016,RI,0.13134200743494423
2016,SC,0.06622529819694868
2016,SD,0.5427070938215103
2016,TN,0.051052325780101854
2016,TX,0.012236350271940914
2016,UT,0.12708440629470671
2016,VA,0.04189611275289838
2016,WA,0.035967485919098825
2016,WI,0.06371145551208747
2016,WV,0.16247426067907997
2016,WY,0.5137368421052632
2018,AK,0.4444480712166172
2018,AL,0.06531037483266398
2018,AR,0.11020978605388272
2018,AZ,0.043656154199877374
2018,CA,0.005591721710411959
2018,CO,0.058318768566027544
2018,CT,0.05938528389339513
2018,DC,0.024433249370277077
2018,DE,0.26564406779661015
2018,FL,0.017706879606879607
2018,GA,0.031582819453274
2018,HI,0.08350669216061185
2018,IA,0.09233082026537998
2018,ID,0.24763997308209956
2018,IL,0.016062852486632976
2018,IN,0.044287519074488094
2018,KY,0.06525073252406864
2018,LA,0.061549197230814555
2018,MA,0.029772974588938718
2018,MD,0.029802342487883684
2018,ME,0.14817149758454107
2018,MI,0.026145932373146753
2018,MN,0.046897208333333336
2018,MO,0.050431001818732946
2018,MS,0.09822013758599124
2018,MT,0.4432832469775475
2018,NC,0.027519991055456175
2018,ND,0.4875768261964736
2018,NE,0.1631094752736882
2018,NH,0.17147796143250688
2018,NJ,0.02324614071833062
2018,NM,0.09632496360989812
2018,NV,0.08608594361785435
2018,NY,0.008984611358866006
2018,OH,0.023665590976575387
2018,OK,0.08222070906021385
2018,OR,0.06947082966871886
2018,PA,0.020245193676725438
2018,RI,0.12202819548872179
2018,SC,0.054526396237507345
2018,SD,0.47248251748251746
2018,TN,0.0446697734492268
2018,TX,0.01110795674316658
2018,UT,0.1069485446985447
2018,VA,0.03387114691031498
2018,VT,0.20613702623906704
2018,WA,0.03336834297581961
2018,WI,0.05118216682646213
2018,WV,0.12598878923766818
2018,WY,0.4774738805970149
2020,AK,0.5016344647519583
2020,AL,0.09339216462208151
2020,AR,0.15214290962527555
2020,AZ,0.04694619219528967
2020,CA,0.006812021312825616
2020,CO,0.0657843539687843
2020,CT,0.07638054054054054
2020,DE,0.3623468634686347
2020,FL,0.020043112104665226
2020,GA,0.033993011383800606
2020,HI,0.11531575037147102
2020,IA,0.12333783008036739
2020,ID,0.3118916666666667
2020,IL,0.021573944479157368
2020,IN,0.056621890061221834
2020,KS,0.1387514306151645
2020,KY,0.09278666666666667
2020,LA,0.045357757363662876
2020,MA,0.039424760293288216
2020,MD,0.03798958025421224
2020,ME,0.19832692307692307
2020,MI,0.03391828405586795
2020,MN,0.05365323050058207
2020,MO,0.06360618358913814
2020,MS,0.11532761578044597
2020,MT,0.5291248049921997
2020,NC,0.04248750242201124
2020,ND,0.572013986013986
2020,NE,0.2009042224510814
2020,NH,0.20999110320284697
2020,NJ,0.03115611385419692
2020,NM,0.13222632944228274
2020,NV,0.10890498281786942
2020,NY,0.011512448239060833
2020,OH,0.030148958488043963
2020,OK,0.11084660297239915
2020,OR,0.07465528957528958
2020,PA,0.02599151181984765
2020,RI,0.19112
2020,SC,0.0743870254330999
2020,SD,0.7368054919908467
2020,TN,0.056295263228220205
2020,TX,0.012338371347439772
2020,UT,0.14873075613079018
2020,VA,0.040992873015555244
2020,VT,0.26254794520547947
2020,WA,0.04261978434130333
2020,WI,0.061242959304040105
2020,WV,0.18472270114942527
2020,WY,0.627472972972973
